frame_id,area_pixels,area_percentage,coverage_ratio,box_count,compute_time_ms
1,333349.0,16.075858410493826,0.16075858410493826,33,0.20725280046463013
2,476473.0,22.978057484567902,0.22978057484567901,34,0.15256297774612904
3,471853.0,22.755256558641975,0.22755256558641976,34,0.14772708527743816
4,468716.0,22.603973765432098,0.22603973765432098,34,0.14805910177528858
5,475910.0,22.950906635802472,0.2295090663580247,34,0.14338502660393715
6,483277.0,23.3061824845679,0.233061824845679,33,0.1382259652018547
7,491729.0,23.713782793209877,0.23713782793209875,33,0.14321296475827694
8,499738.0,24.100019290123456,0.24100019290123456,33,0.13589905574917793
9,505337.0,24.370032793209877,0.24370032793209875,33,0.13750186190009117
10,501706.0,24.194926697530864,0.24194926697530864,34,0.14123693108558655
11,492763.0,23.76364776234568,0.2376364776234568,34,0.13965112157166004
12,497158.0,23.97559799382716,0.2397559799382716,34,0.13903295621275902
13,500429.0,24.13334297839506,0.24133342978395061,34,0.14070398174226284
14,502894.0,24.25221836419753,0.2425221836419753,34,0.14712009578943253
15,503877.0,24.299623842592595,0.24299623842592594,33,0.1349169760942459
16,504741.0,24.34129050925926,0.24341290509259259,33,0.13250205665826797
17,504467.0,24.328076774691358,0.24328076774691357,33,0.13077910989522934
18,505538.0,24.379726080246915,0.24379726080246913,33,0.12969900853931904
19,493921.0,23.819492669753085,0.23819492669753087,33,0.13508996926248074
20,480883.0,23.190731095679013,0.23190731095679012,33,0.13963994570076466
21,470121.0,22.671730324074073,0.22671730324074074,33,0.1445410307496786
22,442942.0,21.361014660493826,0.21361014660493827,33,0.1395640429109335
23,446085.0,21.512586805555557,0.21512586805555556,33,0.13836007565259933
24,448376.0,21.623070987654323,0.21623070987654322,33,0.13664993457496166
25,438490.0,21.146315586419753,0.21146315586419753,33,0.13623409904539585
26,424843.0,20.488184799382715,0.20488184799382717,33,0.13769487850368023
27,411414.0,19.84056712962963,0.1984056712962963,33,0.13936706818640232
28,397403.0,19.16488233024691,0.19164882330246913,33,0.14259503223001957
29,386105.0,18.620032793209877,0.18620032793209876,33,0.1383158378303051
30,373624.0,18.018132716049383,0.18018132716049381,33,0.13739708811044693
31,362196.0,17.46701388888889,0.17467013888888888,33,0.1368001103401184
32,362366.0,17.475212191358025,0.17475212191358025,33,0.13574492186307907
33,363299.0,17.520206404320987,0.17520206404320987,33,0.14027790166437626
34,437224.0,21.085262345679013,0.21085262345679012,34,0.2266170922666788
35,437136.0,21.08101851851852,0.21081018518518518,34,0.15666591934859753
36,383709.0,18.504484953703702,0.18504484953703704,33,0.1424499787390232
37,385594.0,18.595389660493826,0.18595389660493827,33,0.14408188872039318
38,387294.0,18.677372685185183,0.18677372685185184,33,0.14544697478413582
39,387228.0,18.674189814814817,0.18674189814814815,33,0.1437799073755741
40,381950.0,18.41965663580247,0.1841965663580247,33,0.16480707563459873
41,377289.0,18.19487847222222,0.18194878472222223,33,0.14263507910072803
42,371096.0,17.89621913580247,0.17896219135802469,33,0.14546094462275505
43,366140.0,17.65721450617284,0.17657214506172839,33,0.14200899749994278
44,359448.0,17.33449074074074,0.1733449074074074,33,0.1420008484274149
45,353764.0,17.060378086419753,0.17060378086419753,33,0.14265906065702438
46,348021.0,16.78342013888889,0.16783420138888888,33,0.14114310033619404
47,347547.0,16.76056134259259,0.16760561342592592,33,0.14504604041576385
48,342787.0,16.53100887345679,0.1653100887345679,33,0.14197593554854393
49,338232.0,16.31134259259259,0.16311342592592593,34,0.15296810306608677
50,334742.0,16.143036265432098,0.16143036265432098,34,0.1474351156502962
51,330882.0,15.956886574074074,0.15956886574074075,34,0.14775199815630913
52,378262.0,18.241801697530864,0.18241801697530866,35,0.15356694348156452
53,385429.0,18.587432484567902,0.185874324845679,35,0.15450199134647846
54,388107.0,18.71657986111111,0.1871657986111111,35,0.15343306586146355
55,391258.0,18.868537808641975,0.18868537808641975,35,0.162897864356637
56,395266.0,19.061824845679013,0.19061824845679012,35,0.1527741551399231
57,399173.0,19.25024112654321,0.1925024112654321,35,0.15506288036704063
58,401569.0,19.365788966049383,0.19365788966049383,35,0.1560170203447342
59,403433.0,19.455680941358025,0.19455680941358025,35,0.1610440667718649
60,406427.0,19.600067515432098,0.19600067515432099,35,0.1613488420844078
61,410007.0,19.77271412037037,0.19772714120370372,35,0.1634510699659586
62,409086.0,19.72829861111111,0.1972829861111111,35,0.15817093662917614
63,409182.0,19.73292824074074,0.1973292824074074,35,0.1588691957294941
64,408406.0,19.695505401234566,0.19695505401234567,35,0.1581741962581873
65,399731.0,19.27715084876543,0.19277150848765431,35,0.16205105930566788
66,394743.0,19.03660300925926,0.1903660300925926,35,0.1612761989235878
67,388590.0,18.739872685185187,0.18739872685185185,35,0.15658489428460598
68,383247.0,18.48220486111111,0.18482204861111112,35,0.1660110428929329
69,373756.0,18.024498456790123,0.18024498456790122,35,0.16236305236816406
70,419230.0,20.217496141975307,0.20217496141975308,36,0.16564782708883286
71,418154.0,20.165605709876544,0.20165605709876544,36,0.16155093908309937
72,417364.0,20.127507716049383,0.20127507716049384,36,0.16447389498353004
73,414476.0,19.988233024691358,0.19988233024691357,35,0.1567280851304531
74,409467.0,19.746672453703702,0.19746672453703704,35,0.16519916243851185
75,410818.0,19.811824845679013,0.19811824845679013,35,0.1619020476937294
76,403134.0,19.441261574074073,0.19441261574074073,34,0.16050809063017368
77,404243.0,19.494743441358025,0.19494743441358026,34,0.16336911357939243
78,403300.0,19.449266975308642,0.19449266975308643,34,0.15978608280420303
79,403046.0,19.43701774691358,0.1943701774691358,34,0.1613448839634657
